"date","polling_firm","party","supp"
2024-08-19,"INSA","SPD",15.5
2024-08-19,"INSA","Union",30.5
2024-08-19,"INSA","Green",10.5
2024-08-19,"INSA","FDP",5
2024-08-19,"INSA","AfD",19
2024-08-19,"INSA","Linke",3
2024-08-19,"INSA","FW",NA
2024-08-19,"INSA","BSW",9.5
2024-08-19,"Forsa","SPD",15
2024-08-19,"Forsa","Union",31
2024-08-19,"Forsa","Green",11
2024-08-19,"Forsa","FDP",5
2024-08-19,"Forsa","AfD",17
2024-08-19,"Forsa","Linke",3
2024-08-19,"Forsa","FW",NA
2024-08-19,"Forsa","BSW",7
2024-08-16,"INSA","SPD",16
2024-08-16,"INSA","Union",30
2024-08-16,"INSA","Green",11
2024-08-16,"INSA","FDP",5
2024-08-16,"INSA","AfD",19
2024-08-16,"INSA","Linke",3
2024-08-16,"INSA","FW",NA
2024-08-16,"INSA","BSW",9
2024-08-14,"Forschungsgruppe Wahlen","SPD",14
2024-08-14,"Forschungsgruppe Wahlen","Union",32
2024-08-14,"Forschungsgruppe Wahlen","Green",13
2024-08-14,"Forschungsgruppe Wahlen","FDP",4
2024-08-14,"Forschungsgruppe Wahlen","AfD",16
2024-08-14,"Forschungsgruppe Wahlen","Linke",3
2024-08-14,"Forschungsgruppe Wahlen","FW",NA
2024-08-14,"Forschungsgruppe Wahlen","BSW",8
2024-08-13,"YouGov","SPD",15
2024-08-13,"YouGov","Union",31
2024-08-13,"YouGov","Green",12
2024-08-13,"YouGov","FDP",5
2024-08-13,"YouGov","AfD",19
2024-08-13,"YouGov","Linke",3
2024-08-13,"YouGov","FW",1
2024-08-13,"YouGov","BSW",8
2024-08-12,"INSA","SPD",15
2024-08-12,"INSA","Union",30.5
2024-08-12,"INSA","Green",10.5
2024-08-12,"INSA","FDP",5
2024-08-12,"INSA","AfD",18
2024-08-12,"INSA","Linke",3
2024-08-12,"INSA","FW",NA
2024-08-12,"INSA","BSW",9.5
2024-08-12,"Forsa","SPD",15
2024-08-12,"Forsa","Union",30
2024-08-12,"Forsa","Green",11
2024-08-12,"Forsa","FDP",5
2024-08-12,"Forsa","AfD",17
2024-08-12,"Forsa","Linke",3
2024-08-12,"Forsa","FW",NA
2024-08-12,"Forsa","BSW",7
2024-08-12,"GMS","SPD",14
2024-08-12,"GMS","Union",32
2024-08-12,"GMS","Green",12
2024-08-12,"GMS","FDP",5
2024-08-12,"GMS","AfD",17
2024-08-12,"GMS","Linke",3
2024-08-12,"GMS","FW",2
2024-08-12,"GMS","BSW",8
2024-08-09,"INSA","SPD",16
2024-08-09,"INSA","Union",31
2024-08-09,"INSA","Green",10
2024-08-09,"INSA","FDP",5
2024-08-09,"INSA","AfD",18
2024-08-09,"INSA","Linke",3
2024-08-09,"INSA","FW",NA
2024-08-09,"INSA","BSW",9
2024-08-07,"Infratest dimap","SPD",15
2024-08-07,"Infratest dimap","Union",32
2024-08-07,"Infratest dimap","Green",12
2024-08-07,"Infratest dimap","FDP",5
2024-08-07,"Infratest dimap","AfD",16
2024-08-07,"Infratest dimap","Linke",NA
2024-08-07,"Infratest dimap","FW",NA
2024-08-07,"Infratest dimap","BSW",9
2024-08-06,"Verian","SPD",16
2024-08-06,"Verian","Union",31
2024-08-06,"Verian","Green",13
2024-08-06,"Verian","FDP",5
2024-08-06,"Verian","AfD",16
2024-08-06,"Verian","Linke",3
2024-08-06,"Verian","FW",NA
2024-08-06,"Verian","BSW",7
2024-08-05,"INSA","SPD",15
2024-08-05,"INSA","Union",30.5
2024-08-05,"INSA","Green",10.5
2024-08-05,"INSA","FDP",5
2024-08-05,"INSA","AfD",17
2024-08-05,"INSA","Linke",3
2024-08-05,"INSA","FW",NA
2024-08-05,"INSA","BSW",9.5
2024-08-05,"Forsa","SPD",15
2024-08-05,"Forsa","Union",30
2024-08-05,"Forsa","Green",11
2024-08-05,"Forsa","FDP",5
2024-08-05,"Forsa","AfD",17
2024-08-05,"Forsa","Linke",3
2024-08-05,"Forsa","FW",3
2024-08-05,"Forsa","BSW",7
2024-08-04,"Ipsos","SPD",14
2024-08-04,"Ipsos","Union",30
2024-08-04,"Ipsos","Green",13
2024-08-04,"Ipsos","FDP",5
2024-08-04,"Ipsos","AfD",16
2024-08-04,"Ipsos","Linke",3
2024-08-04,"Ipsos","FW",2
2024-08-04,"Ipsos","BSW",8
2024-08-02,"INSA","SPD",15
2024-08-02,"INSA","Union",31
2024-08-02,"INSA","Green",10
2024-08-02,"INSA","FDP",5
2024-08-02,"INSA","AfD",18
2024-08-02,"INSA","Linke",3
2024-08-02,"INSA","FW",NA
2024-08-02,"INSA","BSW",9
2024-07-29,"INSA","SPD",15
2024-07-29,"INSA","Union",30
2024-07-29,"INSA","Green",10
2024-07-29,"INSA","FDP",5
2024-07-29,"INSA","AfD",18
2024-07-29,"INSA","Linke",3.5
2024-07-29,"INSA","FW",NA
2024-07-29,"INSA","BSW",9.5
2024-07-29,"Forsa","SPD",15
2024-07-29,"Forsa","Union",30
2024-07-29,"Forsa","Green",11
2024-07-29,"Forsa","FDP",4
2024-07-29,"Forsa","AfD",17
2024-07-29,"Forsa","Linke",3
2024-07-29,"Forsa","FW",NA
2024-07-29,"Forsa","BSW",7
2024-07-26,"INSA","SPD",15
2024-07-26,"INSA","Union",30
2024-07-26,"INSA","Green",11
2024-07-26,"INSA","FDP",5
2024-07-26,"INSA","AfD",18
2024-07-26,"INSA","Linke",3
2024-07-26,"INSA","FW",NA
2024-07-26,"INSA","BSW",10
2024-07-22,"INSA","SPD",15
2024-07-22,"INSA","Union",31
2024-07-22,"INSA","Green",10.5
2024-07-22,"INSA","FDP",5
2024-07-22,"INSA","AfD",17
2024-07-22,"INSA","Linke",3.5
2024-07-22,"INSA","FW",NA
2024-07-22,"INSA","BSW",9
2024-07-22,"Forsa","SPD",14
2024-07-22,"Forsa","Union",31
2024-07-22,"Forsa","Green",11
2024-07-22,"Forsa","FDP",5
2024-07-22,"Forsa","AfD",17
2024-07-22,"Forsa","Linke",4
2024-07-22,"Forsa","FW",NA
2024-07-22,"Forsa","BSW",7
2024-07-19,"INSA","SPD",15
2024-07-19,"INSA","Union",30
2024-07-19,"INSA","Green",11
2024-07-19,"INSA","FDP",5
2024-07-19,"INSA","AfD",17
2024-07-19,"INSA","Linke",3
2024-07-19,"INSA","FW",NA
2024-07-19,"INSA","BSW",9
2024-07-19,"Allensbach","SPD",16.5
2024-07-19,"Allensbach","Union",32
2024-07-19,"Allensbach","Green",11.5
2024-07-19,"Allensbach","FDP",6
2024-07-19,"Allensbach","AfD",17
2024-07-19,"Allensbach","Linke",NA
2024-07-19,"Allensbach","FW",NA
2024-07-19,"Allensbach","BSW",8
2024-07-15,"INSA","SPD",15
2024-07-15,"INSA","Union",31
2024-07-15,"INSA","Green",11.5
2024-07-15,"INSA","FDP",5
2024-07-15,"INSA","AfD",18
2024-07-15,"INSA","Linke",3
2024-07-15,"INSA","FW",NA
2024-07-15,"INSA","BSW",8.5
2024-07-15,"Forsa","SPD",14
2024-07-15,"Forsa","Union",32
2024-07-15,"Forsa","Green",11
2024-07-15,"Forsa","FDP",5
2024-07-15,"Forsa","AfD",16
2024-07-15,"Forsa","Linke",3
2024-07-15,"Forsa","FW",NA
2024-07-15,"Forsa","BSW",7
2024-07-12,"INSA","SPD",15
2024-07-12,"INSA","Union",30
2024-07-12,"INSA","Green",12
2024-07-12,"INSA","FDP",5
2024-07-12,"INSA","AfD",18
2024-07-12,"INSA","Linke",2
2024-07-12,"INSA","FW",NA
2024-07-12,"INSA","BSW",9
2024-07-11,"Forschungsgruppe Wahlen","SPD",14
2024-07-11,"Forschungsgruppe Wahlen","Union",32
2024-07-11,"Forschungsgruppe Wahlen","Green",13
2024-07-11,"Forschungsgruppe Wahlen","FDP",4
2024-07-11,"Forschungsgruppe Wahlen","AfD",17
2024-07-11,"Forschungsgruppe Wahlen","Linke",3
2024-07-11,"Forschungsgruppe Wahlen","FW",NA
2024-07-11,"Forschungsgruppe Wahlen","BSW",7
2024-07-09,"Verian","SPD",15
2024-07-09,"Verian","Union",31
2024-07-09,"Verian","Green",13
2024-07-09,"Verian","FDP",5
2024-07-09,"Verian","AfD",16
2024-07-09,"Verian","Linke",3
2024-07-09,"Verian","FW",NA
2024-07-09,"Verian","BSW",7
2024-07-08,"INSA","SPD",15
2024-07-08,"INSA","Union",30.5
2024-07-08,"INSA","Green",11
2024-07-08,"INSA","FDP",5.5
2024-07-08,"INSA","AfD",17.5
2024-07-08,"INSA","Linke",3
2024-07-08,"INSA","FW",1.5
2024-07-08,"INSA","BSW",8.5
2024-07-08,"Forsa","SPD",14
2024-07-08,"Forsa","Union",30
2024-07-08,"Forsa","Green",11
2024-07-08,"Forsa","FDP",5
2024-07-08,"Forsa","AfD",17
2024-07-08,"Forsa","Linke",NA
2024-07-08,"Forsa","FW",NA
2024-07-08,"Forsa","BSW",8
2024-07-07,"Ipsos","SPD",14
2024-07-07,"Ipsos","Union",30
2024-07-07,"Ipsos","Green",12
2024-07-07,"Ipsos","FDP",5
2024-07-07,"Ipsos","AfD",16
2024-07-07,"Ipsos","Linke",3
2024-07-07,"Ipsos","FW",2
2024-07-07,"Ipsos","BSW",8
2024-07-05,"INSA","SPD",15
2024-07-05,"INSA","Union",30
2024-07-05,"INSA","Green",11
2024-07-05,"INSA","FDP",5
2024-07-05,"INSA","AfD",18
2024-07-05,"INSA","Linke",2
2024-07-05,"INSA","FW",NA
2024-07-05,"INSA","BSW",9
2024-07-03,"Infratest dimap","SPD",14
2024-07-03,"Infratest dimap","Union",31
2024-07-03,"Infratest dimap","Green",13
2024-07-03,"Infratest dimap","FDP",5
2024-07-03,"Infratest dimap","AfD",17
2024-07-03,"Infratest dimap","Linke",3
2024-07-03,"Infratest dimap","FW",NA
2024-07-03,"Infratest dimap","BSW",8
2024-07-03,"YouGov","SPD",14
2024-07-03,"YouGov","Union",30
2024-07-03,"YouGov","Green",12
2024-07-03,"YouGov","FDP",6
2024-07-03,"YouGov","AfD",19
2024-07-03,"YouGov","Linke",3
2024-07-03,"YouGov","FW",2
2024-07-03,"YouGov","BSW",9
2024-07-01,"INSA","SPD",15
2024-07-01,"INSA","Union",29.5
2024-07-01,"INSA","Green",12
2024-07-01,"INSA","FDP",5.5
2024-07-01,"INSA","AfD",17.5
2024-07-01,"INSA","Linke",2.5
2024-07-01,"INSA","FW",2
2024-07-01,"INSA","BSW",8.5
2024-07-01,"Forsa","SPD",15
2024-07-01,"Forsa","Union",31
2024-07-01,"Forsa","Green",11
2024-07-01,"Forsa","FDP",6
2024-07-01,"Forsa","AfD",16
2024-07-01,"Forsa","Linke",NA
2024-07-01,"Forsa","FW",NA
2024-07-01,"Forsa","BSW",7
2024-06-28,"INSA","SPD",15
2024-06-28,"INSA","Union",30
2024-06-28,"INSA","Green",12
2024-06-28,"INSA","FDP",6
2024-06-28,"INSA","AfD",17
2024-06-28,"INSA","Linke",2
2024-06-28,"INSA","FW",2
2024-06-28,"INSA","BSW",9
2024-06-27,"Forschungsgruppe Wahlen","SPD",14
2024-06-27,"Forschungsgruppe Wahlen","Union",31
2024-06-27,"Forschungsgruppe Wahlen","Green",13
2024-06-27,"Forschungsgruppe Wahlen","FDP",4
2024-06-27,"Forschungsgruppe Wahlen","AfD",17
2024-06-27,"Forschungsgruppe Wahlen","Linke",3
2024-06-27,"Forschungsgruppe Wahlen","FW",NA
2024-06-27,"Forschungsgruppe Wahlen","BSW",7
2024-06-24,"INSA","SPD",14.5
2024-06-24,"INSA","Union",30.5
2024-06-24,"INSA","Green",11.5
2024-06-24,"INSA","FDP",5
2024-06-24,"INSA","AfD",17.5
2024-06-24,"INSA","Linke",3
2024-06-24,"INSA","FW",2
2024-06-24,"INSA","BSW",8.5
2024-06-24,"Forsa","SPD",15
2024-06-24,"Forsa","Union",31
2024-06-24,"Forsa","Green",11
2024-06-24,"Forsa","FDP",5
2024-06-24,"Forsa","AfD",16
2024-06-24,"Forsa","Linke",NA
2024-06-24,"Forsa","FW",3
2024-06-24,"Forsa","BSW",7
2024-06-21,"INSA","SPD",15
2024-06-21,"INSA","Union",30
2024-06-21,"INSA","Green",12
2024-06-21,"INSA","FDP",5
2024-06-21,"INSA","AfD",17
2024-06-21,"INSA","Linke",3
2024-06-21,"INSA","FW",2
2024-06-21,"INSA","BSW",8
2024-06-17,"INSA","SPD",15
2024-06-17,"INSA","Union",31
2024-06-17,"INSA","Green",11
2024-06-17,"INSA","FDP",5
2024-06-17,"INSA","AfD",17
2024-06-17,"INSA","Linke",3
2024-06-17,"INSA","FW",2
2024-06-17,"INSA","BSW",8
2024-06-17,"Forsa","SPD",15
2024-06-17,"Forsa","Union",30
2024-06-17,"Forsa","Green",12
2024-06-17,"Forsa","FDP",5
2024-06-17,"Forsa","AfD",16
2024-06-17,"Forsa","Linke",NA
2024-06-17,"Forsa","FW",2
2024-06-17,"Forsa","BSW",7
2024-06-17,"GMS","SPD",14
2024-06-17,"GMS","Union",31
2024-06-17,"GMS","Green",14
2024-06-17,"GMS","FDP",5
2024-06-17,"GMS","AfD",18
2024-06-17,"GMS","Linke",3
2024-06-17,"GMS","FW",2
2024-06-17,"GMS","BSW",6
2024-06-15,"INSA","SPD",16
2024-06-15,"INSA","Union",31
2024-06-15,"INSA","Green",11
2024-06-15,"INSA","FDP",5
2024-06-15,"INSA","AfD",17
2024-06-15,"INSA","Linke",3
2024-06-15,"INSA","FW",2
2024-06-15,"INSA","BSW",7
2024-06-13,"Allensbach","SPD",16
2024-06-13,"Allensbach","Union",32
2024-06-13,"Allensbach","Green",13
2024-06-13,"Allensbach","FDP",6
2024-06-13,"Allensbach","AfD",15
2024-06-13,"Allensbach","Linke",3
2024-06-13,"Allensbach","FW",NA
2024-06-13,"Allensbach","BSW",7
2024-06-12,"Forschungsgruppe Wahlen","SPD",14
2024-06-12,"Forschungsgruppe Wahlen","Union",30
2024-06-12,"Forschungsgruppe Wahlen","Green",14
2024-06-12,"Forschungsgruppe Wahlen","FDP",5
2024-06-12,"Forschungsgruppe Wahlen","AfD",16
2024-06-12,"Forschungsgruppe Wahlen","Linke",NA
2024-06-12,"Forschungsgruppe Wahlen","FW",NA
2024-06-12,"Forschungsgruppe Wahlen","BSW",7
2024-06-11,"Verian","SPD",16
2024-06-11,"Verian","Union",30
2024-06-11,"Verian","Green",13
2024-06-11,"Verian","FDP",5
2024-06-11,"Verian","AfD",17
2024-06-11,"Verian","Linke",3
2024-06-11,"Verian","FW",3
2024-06-11,"Verian","BSW",6
2024-06-10,"INSA","SPD",15.5
2024-06-10,"INSA","Union",30
2024-06-10,"INSA","Green",12
2024-06-10,"INSA","FDP",5
2024-06-10,"INSA","AfD",16
2024-06-10,"INSA","Linke",3
2024-06-10,"INSA","FW",2.5
2024-06-10,"INSA","BSW",7.5
2024-06-10,"Forsa","SPD",16
2024-06-10,"Forsa","Union",30
2024-06-10,"Forsa","Green",13
2024-06-10,"Forsa","FDP",6
2024-06-10,"Forsa","AfD",16
2024-06-10,"Forsa","Linke",NA
2024-06-10,"Forsa","FW",NA
2024-06-10,"Forsa","BSW",6
2024-06-07,"INSA","SPD",16
2024-06-07,"INSA","Union",30
2024-06-07,"INSA","Green",12
2024-06-07,"INSA","FDP",5
2024-06-07,"INSA","AfD",16
2024-06-07,"INSA","Linke",3
2024-06-07,"INSA","FW",3
2024-06-07,"INSA","BSW",8
2024-06-05,"YouGov","SPD",14
2024-06-05,"YouGov","Union",29
2024-06-05,"YouGov","Green",12
2024-06-05,"YouGov","FDP",4
2024-06-05,"YouGov","AfD",18
2024-06-05,"YouGov","Linke",4
2024-06-05,"YouGov","FW",2
2024-06-05,"YouGov","BSW",9
2024-06-05,"Ipsos","SPD",15
2024-06-05,"Ipsos","Union",29
2024-06-05,"Ipsos","Green",13
2024-06-05,"Ipsos","FDP",5
2024-06-05,"Ipsos","AfD",17
2024-06-05,"Ipsos","Linke",3
2024-06-05,"Ipsos","FW",3
2024-06-05,"Ipsos","BSW",8
2024-06-03,"INSA","SPD",16
2024-06-03,"INSA","Union",30.5
2024-06-03,"INSA","Green",12
2024-06-03,"INSA","FDP",5
2024-06-03,"INSA","AfD",15.5
2024-06-03,"INSA","Linke",3.5
2024-06-03,"INSA","FW",2.5
2024-06-03,"INSA","BSW",7.5
2024-06-03,"Forsa","SPD",17
2024-06-03,"Forsa","Union",30
2024-06-03,"Forsa","Green",13
2024-06-03,"Forsa","FDP",6
2024-06-03,"Forsa","AfD",15
2024-06-03,"Forsa","Linke",NA
2024-06-03,"Forsa","FW",NA
2024-06-03,"Forsa","BSW",6
2024-05-31,"INSA","SPD",16
2024-05-31,"INSA","Union",31
2024-05-31,"INSA","Green",12
2024-05-31,"INSA","FDP",5
2024-05-31,"INSA","AfD",16
2024-05-31,"INSA","Linke",3
2024-05-31,"INSA","FW",3
2024-05-31,"INSA","BSW",7
2024-05-29,"Infratest dimap","SPD",15
2024-05-29,"Infratest dimap","Union",31
2024-05-29,"Infratest dimap","Green",14
2024-05-29,"Infratest dimap","FDP",4
2024-05-29,"Infratest dimap","AfD",18
2024-05-29,"Infratest dimap","Linke",3
2024-05-29,"Infratest dimap","FW",3
2024-05-29,"Infratest dimap","BSW",5
2024-05-27,"INSA","SPD",15
2024-05-27,"INSA","Union",30.5
2024-05-27,"INSA","Green",12
2024-05-27,"INSA","FDP",5
2024-05-27,"INSA","AfD",17
2024-05-27,"INSA","Linke",3
2024-05-27,"INSA","FW",2.5
2024-05-27,"INSA","BSW",7
2024-05-27,"Forsa","SPD",16
2024-05-27,"Forsa","Union",30
2024-05-27,"Forsa","Green",13
2024-05-27,"Forsa","FDP",6
2024-05-27,"Forsa","AfD",15
2024-05-27,"Forsa","Linke",NA
2024-05-27,"Forsa","FW",NA
2024-05-27,"Forsa","BSW",6
